"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC","ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","bug"
"L122","BranchedStore.java","advanced/management/src/main/java/org/neo4j/management/BranchedStore.java","L121","1","0","0","2","11","34","L115","BranchedStore.java","advanced/management/src/main/java/org/neo4j/management/BranchedStore.java","L114","1","0","11","13","0","9","665","0"
"L123","BranchedStoreInfo.java","advanced/management/src/main/java/org/neo4j/management/BranchedStoreInfo.java","L121","1","0","0","5","30","57","L116","BranchedStoreInfo.java","advanced/management/src/main/java/org/neo4j/management/BranchedStoreInfo.java","L114","1","0","30","10","0","6","665","0"
"L124","Cache.java","advanced/management/src/main/java/org/neo4j/management/Cache.java","L121","1","0","0","6","20","48","L117","Cache.java","advanced/management/src/main/java/org/neo4j/management/Cache.java","L114","1","0","20","18","0","11","665","0"
"L125","ClusterDatabaseInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterDatabaseInfo.java","L121","1","0","0","4","21","45","L118","ClusterDatabaseInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterDatabaseInfo.java","L114","1","0","21","21","0","8","665","0"
"L126","ClusterMemberInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterMemberInfo.java","L121","5","0","1","10","91","131","L119","ClusterMemberInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterMemberInfo.java","L114","5","0","91","21","0","8","665","0"
"L127","Diagnostics.java","advanced/management/src/main/java/org/neo4j/management/Diagnostics.java","L121","1","0","0","6","20","48","L120","Diagnostics.java","advanced/management/src/main/java/org/neo4j/management/Diagnostics.java","L114","1","0","20","11","0","7","665","0"
"L128","HighAvailability.java","advanced/management/src/main/java/org/neo4j/management/HighAvailability.java","L121","1","0","0","9","26","56","L121","HighAvailability.java","advanced/management/src/main/java/org/neo4j/management/HighAvailability.java","L114","1","0","26","21","0","9","665","0"
"L129","LockManager.java","advanced/management/src/main/java/org/neo4j/management/LockManager.java","L121","1","0","0","4","20","46","L122","LockManager.java","advanced/management/src/main/java/org/neo4j/management/LockManager.java","L114","1","0","20","17","0","9","665","0"
"L130","Main.java","advanced/management/src/main/java/org/neo4j/management/Main.java","L121","14","0","0","0","92","118","L123","Main.java","advanced/management/src/main/java/org/neo4j/management/Main.java","L114","14","0","92","13","0","7","665","0"
"L131","MemoryMapping.java","advanced/management/src/main/java/org/neo4j/management/MemoryMapping.java","L121","1","0","0","2","12","35","L124","MemoryMapping.java","advanced/management/src/main/java/org/neo4j/management/MemoryMapping.java","L114","1","0","12","12","0","7","665","0"
"L132","Neo4jManager.java","advanced/management/src/main/java/org/neo4j/management/Neo4jManager.java","L121","26","0","0","31","318","378","L125","Neo4jManager.java","advanced/management/src/main/java/org/neo4j/management/Neo4jManager.java","L114","26","0","318","20","0","9","665","0"
"L134","RemoteConnection.java","advanced/management/src/main/java/org/neo4j/management/RemoteConnection.java","L121","1","0","0","1","7","29","L127","RemoteConnection.java","advanced/management/src/main/java/org/neo4j/management/RemoteConnection.java","L114","1","0","7","12","0","7","665","0"
"L135","TransactionManager.java","advanced/management/src/main/java/org/neo4j/management/TransactionManager.java","L121","1","0","0","7","21","49","L128","TransactionManager.java","advanced/management/src/main/java/org/neo4j/management/TransactionManager.java","L114","1","0","21","16","0","9","665","0"
"L136","WindowPoolInfo.java","advanced/management/src/main/java/org/neo4j/management/WindowPoolInfo.java","L121","1","0","0","10","63","94","L129","WindowPoolInfo.java","advanced/management/src/main/java/org/neo4j/management/WindowPoolInfo.java","L114","1","0","63","10","0","5","665","0"
"L137","XaManager.java","advanced/management/src/main/java/org/neo4j/management/XaManager.java","L121","1","0","0","2","11","34","L130","XaManager.java","advanced/management/src/main/java/org/neo4j/management/XaManager.java","L114","1","0","11","12","0","7","665","0"
"L138","XaResourceInfo.java","advanced/management/src/main/java/org/neo4j/management/XaResourceInfo.java","L121","1","0","0","6","35","62","L131","XaResourceInfo.java","advanced/management/src/main/java/org/neo4j/management/XaResourceInfo.java","L114","1","0","35","14","0","8","665","0"
"L344","AdvancedManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/AdvancedManagementSupport.java","L343","3","0","0","0","31","57","L337","AdvancedManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/AdvancedManagementSupport.java","L336","3","0","31","13","0","7","665","0"
"L345","BeanProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/BeanProxy.java","L343","8","0","0","0","130","166","L338","BeanProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/BeanProxy.java","L336","8","0","130","13","0","7","665","0"
"L346","CacheBean.java","advanced/management/src/main/java/org/neo4j/management/impl/CacheBean.java","L343","2","0","0","2","71","102","L339","CacheBean.java","advanced/management/src/main/java/org/neo4j/management/impl/CacheBean.java","L336","2","0","71","25","0","11","665","0"
"L347","DiagnosticsBean.java","advanced/management/src/main/java/org/neo4j/management/impl/DiagnosticsBean.java","L343","2","0","0","2","70","102","L340","DiagnosticsBean.java","advanced/management/src/main/java/org/neo4j/management/impl/DiagnosticsBean.java","L336","2","0","70","22","0","11","665","0"
"L348","HotspotManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/HotspotManagementSupport.java","L343","35","0","0","1","238","270","L341","HotspotManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/HotspotManagementSupport.java","L336","35","0","238","20","0","11","665","0"
"L349","KernelProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/KernelProxy.java","L343","18","0","1","0","183","241","L342","KernelProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/KernelProxy.java","L336","18","0","183","15","0","7","665","0"
"L350","LockManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/LockManagerBean.java","L343","1","0","0","2","61","94","L343","LockManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/LockManagerBean.java","L336","1","0","61","29","0","13","1296","0"
"L351","MemoryMappingBean.java","advanced/management/src/main/java/org/neo4j/management/impl/MemoryMappingBean.java","L343","2","0","0","2","71","102","L344","MemoryMappingBean.java","advanced/management/src/main/java/org/neo4j/management/impl/MemoryMappingBean.java","L336","2","0","71","20","0","9","665","0"
"L352","TransactionManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/TransactionManagerBean.java","L343","2","0","0","2","68","100","L345","TransactionManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/TransactionManagerBean.java","L336","2","0","68","21","0","11","665","0"
"L353","XaManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/XaManagerBean.java","L343","5","0","0","3","80","114","L346","XaManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/XaManagerBean.java","L336","5","0","80","21","0","11","665","0"
"L859","DataBrowser.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/DataBrowser.java","L858","4","0","0","0","55","85","L852","DataBrowser.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/DataBrowser.java","L851","4","0","55","10","0","5","665","0"
"L860","HaWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/HaWidget.java","L858","1","0","0","0","20","48","L853","HaWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/HaWidget.java","L851","1","0","20","12","0","7","665","0"
"L861","KernelWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/KernelWidget.java","L858","1","0","0","0","19","45","L854","KernelWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/KernelWidget.java","L851","1","0","19","12","0","7","665","0"
"L862","ManagementAccess.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/ManagementAccess.java","L858","4","0","0","0","42","68","L855","ManagementAccess.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/ManagementAccess.java","L851","4","0","42","11","0","7","665","0"
"L863","Neo4jPlugin.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Neo4jPlugin.java","L858","12","0","1","3","107","146","L856","Neo4jPlugin.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Neo4jPlugin.java","L851","12","0","107","13","0","7","665","0"
"L864","UpdateEvent.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/UpdateEvent.java","L858","1","0","0","0","5","26","L857","UpdateEvent.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/UpdateEvent.java","L851","1","0","5","10","0","5","665","0"
"L865","Widget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Widget.java","L858","2","0","0","0","24","51","L858","Widget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Widget.java","L851","2","0","24","10","0","5","665","0"
"L133","package-info.java","advanced/management/src/main/java/org/neo4j/management/package-info.java","L121","1","0","0","0","1","24","L126","package-info.java","advanced/management/src/main/java/org/neo4j/management/package-info.java","L114","1","0","1","11","0","5","665","0"
"L144","ManagementBeansTest.java","advanced/management/src/test/java/org/neo4j/management/ManagementBeansTest.java","L143","3","0","0","16","119","161","L137","ManagementBeansTest.java","advanced/management/src/test/java/org/neo4j/management/ManagementBeansTest.java","L136","3","0","119","17","0","9","665","0"
"L145","TestCacheBeans.java","advanced/management/src/test/java/org/neo4j/management/TestCacheBeans.java","L143","4","0","0","6","122","159","L138","TestCacheBeans.java","advanced/management/src/test/java/org/neo4j/management/TestCacheBeans.java","L136","4","0","122","22","0","11","665","0"
"L146","TestLockManagerBean.java","advanced/management/src/test/java/org/neo4j/management/TestLockManagerBean.java","L143","4","0","0","6","158","213","L139","TestLockManagerBean.java","advanced/management/src/test/java/org/neo4j/management/TestLockManagerBean.java","L136","4","0","158","35","0","15","1296","0"
"L147","TestXaManagerBeans.java","advanced/management/src/test/java/org/neo4j/management/TestXaManagerBeans.java","L143","5","0","0","5","67","96","L140","TestXaManagerBeans.java","advanced/management/src/test/java/org/neo4j/management/TestXaManagerBeans.java","L136","5","0","67","25","0","10","5350","0"
"L355","CodeDuplicationValidationTest.java","advanced/management/src/test/java/org/neo4j/management/impl/CodeDuplicationValidationTest.java","L354","1","0","0","5","72","105","L348","CodeDuplicationValidationTest.java","advanced/management/src/test/java/org/neo4j/management/impl/CodeDuplicationValidationTest.java","L347","1","0","72","15","0","9","665","0"
"L2099","AdvancedBootstrapper.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedBootstrapper.java","L2098","1","0","0","1","11","33","L2092","AdvancedBootstrapper.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedBootstrapper.java","L2091","1","0","11","16","0","7","5350","0"
"L2100","AdvancedNeoServer.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedNeoServer.java","L2098","1","0","0","2","29","55","L2093","AdvancedNeoServer.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedNeoServer.java","L2091","1","0","29","20","0","7","5350","0"
"L2165","ServerManagement.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagement.java","L2164","2","0","0","3","34","58","L2158","ServerManagement.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagement.java","L2157","2","0","34","12","0","7","665","0"
"L2166","ServerManagementMBean.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagementMBean.java","L2164","1","0","0","2","4","26","L2159","ServerManagementMBean.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagementMBean.java","L2157","1","0","4","10","0","5","665","0"
"L2196","JMXManagementModule.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/modules/JMXManagementModule.java","L2195","4","0","0","4","50","79","L2189","JMXManagementModule.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/modules/JMXManagementModule.java","L2188","4","0","50","23","0","10","5350","0"
"L2107","AdvancedBootstrapperTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/AdvancedBootstrapperTest.java","L2106","1","0","0","2","15","38","L2100","AdvancedBootstrapperTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/AdvancedBootstrapperTest.java","L2099","1","0","15","13","0","8","665","0"
"L2108","BootstrapperTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/BootstrapperTest.java","L2106","1","0","0","2","40","78","L2101","BootstrapperTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/BootstrapperTest.java","L2099","1","0","40","31","0","13","5350","0"
"L2263","AdvancedServerBuilder.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/helpers/AdvancedServerBuilder.java","L2262","2","0","0","6","69","104","L2256","AdvancedServerBuilder.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/helpers/AdvancedServerBuilder.java","L2255","2","0","69","14","0","6","5350","0"
