"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC","ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of committers","Number of developer commits","Number of previous modifications","Number of previous fixes","bug"
"L48967","BigLabels.java","Plotter/src/examples/java/plotter/examples/BigLabels.java","L48966","2","0","0","2","40","49","L48788","BigLabels.java","Plotter/src/examples/java/plotter/examples/BigLabels.java","L48787","2","0","40","4","70","5","0","0"
"L48968","Compression.java","Plotter/src/examples/java/plotter/examples/Compression.java","L48966","18","0","0","2","187","232","L48789","Compression.java","Plotter/src/examples/java/plotter/examples/Compression.java","L48787","18","0","187","0","0","1","0","0"
"L48969","Enumeration.java","Plotter/src/examples/java/plotter/examples/Enumeration.java","L48966","1","0","0","2","43","73","L48790","Enumeration.java","Plotter/src/examples/java/plotter/examples/Enumeration.java","L48787","1","0","43","0","0","1","0","0"
"L48970","InvertedAxes.java","Plotter/src/examples/java/plotter/examples/InvertedAxes.java","L48966","5","0","0","2","114","154","L48791","InvertedAxes.java","Plotter/src/examples/java/plotter/examples/InvertedAxes.java","L48787","5","0","114","0","0","1","0","0"
"L48971","LogPlot.java","Plotter/src/examples/java/plotter/examples/LogPlot.java","L48966","2","0","1","1","47","85","L48792","LogPlot.java","Plotter/src/examples/java/plotter/examples/LogPlot.java","L48787","2","0","47","0","0","1","0","0"
"L48972","MissingPointModes.java","Plotter/src/examples/java/plotter/examples/MissingPointModes.java","L48966","5","0","0","2","66","99","L48793","MissingPointModes.java","Plotter/src/examples/java/plotter/examples/MissingPointModes.java","L48787","5","0","66","0","0","1","0","0"
"L48973","PointShapes.java","Plotter/src/examples/java/plotter/examples/PointShapes.java","L48966","5","0","0","2","59","68","L48794","PointShapes.java","Plotter/src/examples/java/plotter/examples/PointShapes.java","L48787","5","0","59","4","70","5","0","0"
"L48974","RotatedLabels.java","Plotter/src/examples/java/plotter/examples/RotatedLabels.java","L48966","2","0","0","2","39","69","L48795","RotatedLabels.java","Plotter/src/examples/java/plotter/examples/RotatedLabels.java","L48787","2","0","39","0","0","1","0","0"
"L48975","ScatterPlot.java","Plotter/src/examples/java/plotter/examples/ScatterPlot.java","L48966","2","0","0","2","35","65","L48796","ScatterPlot.java","Plotter/src/examples/java/plotter/examples/ScatterPlot.java","L48787","2","0","35","0","0","1","0","0"
"L48976","ScatterPlotUpdating.java","Plotter/src/examples/java/plotter/examples/ScatterPlotUpdating.java","L48966","5","0","0","2","73","106","L48797","ScatterPlotUpdating.java","Plotter/src/examples/java/plotter/examples/ScatterPlotUpdating.java","L48787","5","0","73","0","0","1","0","0"
"L48977","ScatterPointShapes.java","Plotter/src/examples/java/plotter/examples/ScatterPointShapes.java","L48966","2","0","0","2","43","52","L48798","ScatterPointShapes.java","Plotter/src/examples/java/plotter/examples/ScatterPointShapes.java","L48787","2","0","43","4","70","5","0","0"
"L48978","Scrolling.java","Plotter/src/examples/java/plotter/examples/Scrolling.java","L48966","2","0","0","2","76","110","L48799","Scrolling.java","Plotter/src/examples/java/plotter/examples/Scrolling.java","L48787","2","0","76","0","0","1","0","0"
"L48979","ScrollingCompression.java","Plotter/src/examples/java/plotter/examples/ScrollingCompression.java","L48966","4","0","0","2","95","130","L48800","ScrollingCompression.java","Plotter/src/examples/java/plotter/examples/ScrollingCompression.java","L48787","4","0","95","0","0","1","0","0"
"L48980","ScrollingTimeOnY.java","Plotter/src/examples/java/plotter/examples/ScrollingTimeOnY.java","L48966","1","0","0","2","74","108","L48801","ScrollingTimeOnY.java","Plotter/src/examples/java/plotter/examples/ScrollingTimeOnY.java","L48787","1","0","74","0","0","1","0","0"
"L48981","SmoothScrolling.java","Plotter/src/examples/java/plotter/examples/SmoothScrolling.java","L48966","2","0","0","2","72","106","L48802","SmoothScrolling.java","Plotter/src/examples/java/plotter/examples/SmoothScrolling.java","L48787","2","0","72","0","0","1","0","0"
"L48982","Static.java","Plotter/src/examples/java/plotter/examples/Static.java","L48966","2","0","0","2","34","64","L48803","Static.java","Plotter/src/examples/java/plotter/examples/Static.java","L48787","2","0","34","0","0","1","0","0"
"L48983","StressTest.java","Plotter/src/examples/java/plotter/examples/StressTest.java","L48966","6","0","0","2","113","148","L48804","StressTest.java","Plotter/src/examples/java/plotter/examples/StressTest.java","L48787","6","0","113","4","70","6","0","0"
